
    __                        __  ___    ________
   / /_____  _________  ___  / / /   |  / ____/ /
  / //_/ _ \/ ___/ __ \/ _ \/ / / /| | / /_  / /
 / ,< /  __/ /  / / / /  __/ / / ___ |/ __/ / /___
/_/|_|\___/_/  /_/ /_/\___/_/ /_/  |_/_/   /_____/
===================================================

<< [1m[92mkAFL Plotter[0m >>

00:00:43: Found  82 from  41 using afl_flip_1 [\xd5\xf5t./8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 13.05ms], prio=3.9, t=0.0min)
00:00:43: Found  83 from  41 using afl_flip_1 [\xd7\xf4t./8M\xff.V\xc8u\x9a    ] (stage=redq/gri, exit=R, favs=1727, score=4.0 [0.0K, 3.63ms], prio=41.6, t=0.0min)
00:00:43: Found  84 from  41 using afl_flip_1 [\xd7\xf5t..8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 15.66ms], prio=3.6, t=0.0min)
00:00:43: Found  85 from  41 using afl_flip_1 [\xd7\xf5t.?8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 14.85ms], prio=3.6, t=0.0min)
00:00:44: Found  86 from  41 using afl_flip_1 [\xd7\xf5t./8M\xff'V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 12.39ms], prio=3.9, t=0.0min)
00:00:44: Found  87 from   2 using afl_flip_8 [.\x92P.S\xb8.:\xbbNx.;\xf2\x90.\] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 17.81ms], prio=3.6, t=0.0min)
00:00:44: Found  88 from   2 using afl_flip_8 [.\x92P.\xacG\xff.Nx.;\xf2\x90.\x] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 9.90ms], prio=3.9, t=0.0min)
00:00:45: Found  89 from  41 using afl_flip_2 [\xd7\xf5t\xdc\xf7/8M\xff.V\xc8u\] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 13.42ms], prio=3.9, t=0.0min)
00:00:45: Found  90 from  83 using calibrate  [\xde                            ] (stage=initial , exit=R, favs=0, score=2.0 [0.0K, 0.41ms], prio=5.0, t=0.0min)
00:00:45: Found  91 from  45 using afl_flip_1 [\xd3\xf5d\xc6..8M\x80.M\x80.{.\x] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 18.90ms], prio=3.6, t=0.0min)
00:00:46: Found  92 from  45 using afl_flip_1 [\xd7\xf5d..8M\x80.M\x80.{.\x82\x] (stage=redq/gri, exit=R, favs=32, score=5.0 [0.0K, 4.69ms], prio=18.1, t=0.1min)
00:00:46: Found  93 from  41 using afl_flip_2 [\xd7\xf5t.18M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 13.22ms], prio=3.9, t=0.0min)
00:00:46: Found  94 from  41 using afl_flip_2 [\xd7\xf5t. 8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 12.45ms], prio=3.9, t=0.0min)
00:00:46: Found  95 from  45 using afl_flip_1 [\xd7\xf5d\xc6..<M\x80.M\x80.{.\x] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 7.73ms], prio=3.9, t=0.0min)
00:00:47: Found  96 from  45 using afl_flip_1 [\xd7\xf5d\xc6..8M..M\x80.{.\x82\] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 7.58ms], prio=3.9, t=0.0min)
00:00:47: Found  97 from  45 using afl_flip_1 [\xd7\xf5d\xc6..8M\x80.M\x80.{.\x] (stage=redq/gri, exit=R, favs=108, score=5.0 [0.0K, 8.92ms], prio=24.2, t=0.1min)
00:00:47: Found  98 from  45 using afl_flip_1 [\xd7\xf5d\xc6..8M\x80.M\x80.{.\x] (stage=initial , exit=R, favs=4, score=5.0 [0.0K, 19.13ms], prio=9.2, t=0.0min)
00:00:47: Found  99 from  41 using afl_flip_8 [\xd7\xf5t.\xd08M\xff.V\xc8u\x9a ] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 12.41ms], prio=3.9, t=0.0min)
00:00:49: Found 100 from   2 using afl_arith_ [.\x92P.\xacG\xff.Nx.2\xf2\x90.\x] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 10.10ms], prio=3.9, t=0.0min)
00:00:49: Found 101 from  41 using afl_arith_ [\xd7\xd8t./8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 28.41ms], prio=3.6, t=0.0min)
00:00:49: Found 102 from  41 using afl_arith_ [\xd7\xd4t./8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=6.0 [0.0K, 32.80ms], prio=3.3, t=0.0min)
00:00:49: Found 103 from   6 using afl_flip_1 [|\xf1.\xe3\xcc\xf3\xfb\xba^\xa4\] (stage=initial , exit=R, favs=0, score=5.0 [0.2K, 13.63ms], prio=3.6, t=0.0min)
00:00:50: Found 104 from  45 using afl_flip_2 [\xd7\xedd\xc6..8M\x80.M\x80.{.\x] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 22.12ms], prio=3.6, t=0.0min)
00:00:50: Found 105 from  45 using afl_flip_2 [\xd7\xf5d\xc6.\xc08M\x80.M\x80.{] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 21.26ms], prio=3.6, t=0.0min)
00:00:51: Found 106 from  41 using afl_arith_ [\xd7\xf5t./8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 15.64ms], prio=3.6, t=0.0min)
00:00:51: Found 107 from  45 using afl_flip_2 [\xd7\xf5d\xc6..8M\x800M\x80.{.\x] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 21.93ms], prio=3.6, t=0.0min)
00:00:52: Found 108 from  41 using afl_arith_ [\xd7\xf5t.28M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 15.73ms], prio=3.6, t=0.0min)
00:00:52: Found 109 from  41 using afl_arith_ [\xd7\xf5t.38M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 14.42ms], prio=3.6, t=0.0min)
00:00:52: Found 110 from  41 using afl_arith_ [\xd7\xf5t.(8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 13.64ms], prio=3.6, t=0.0min)
00:00:52: Found 111 from  41 using afl_arith_ [\xd7\xf5t.C8M\xff.V\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 13.63ms], prio=3.6, t=0.0min)
00:00:55: Found 112 from  41 using afl_arith_ [\xd7\xf5t./8M\xff\xfdV\xc8u\x9a.] (stage=redq/gri, exit=R, favs=1726, score=2.0 [0.1K, 7.05ms], prio=53.8, t=0.0min)
00:00:55: Found 113 from   2 using afl_arith_ [.\x92P.\xacH..Nx.;\xf2\x90.\xf3p] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 18.19ms], prio=3.6, t=0.0min)
00:00:58: Found 114 from   2 using afl_int_1  [.\x92..\xacG\xff.Nx.;\xf2\x90.\x] (stage=initial , exit=T, favs=0, score=6.0 [0.0K, 35.66ms], prio=3.3, t=0.0min)
00:00:58: Found 115 from   2 using afl_int_1  [.\x92Pd\xacG\xff.Nx.;\xf2\x90.\x] (stage=initial , exit=T, favs=0, score=5.0 [0.0K, 22.15ms], prio=3.6, t=0.0min)
00:00:58: Found 116 from   2 using afl_int_1  [.\x92P.\xacG\x80.Nx.;\xf2\x90.\x] (stage=initial , exit=T, favs=0, score=5.0 [0.0K, 26.20ms], prio=3.6, t=0.0min)
00:01:00: Found 117 from   2 using afl_int_2  [..P.\xacG\xff.Nx.;\xf2\x90.\xf3p] (stage=initial , exit=R, favs=18, score=5.0 [0.0K, 23.46ms], prio=15.4, t=0.0min)
00:01:04: Found 118 from   2 using afl_int_2  [.\x92P.\xacG\xff.Nx.;\xf2\x90.\x] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 19.31ms], prio=3.6, t=0.0min)
00:01:04: Found 119 from  45 using afl_arith_ [\xd7\xf5d\xc6..8M\x80.M\x80.{.\x] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 22.98ms], prio=3.6, t=0.0min)
00:01:04: Found 120 from  41 using afl_int_2  [\xd7\xf5t./8M..V\xc8u\x9a       ] (stage=initial , exit=R, favs=0, score=2.0 [0.0K, 1.24ms], prio=5.0, t=0.0min)
00:01:05: Found 121 from  41 using afl_int_2  [\xd7\xf5t./8M\xff..\xc8u\x9a    ] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 12.92ms], prio=3.9, t=0.0min)
00:01:05: Found 122 from   2 using afl_int_2  [.\x92P.\xacG\xff.Nx.;\xf2\x90.\x] (stage=initial , exit=R, favs=0, score=4.0 [0.0K, 7.78ms], prio=3.9, t=0.0min)
00:01:05: Found 123 from  45 using afl_arith_ [\xd7\xf5d\xc6\xf7.8M\x80.M\x80.{] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 19.92ms], prio=3.6, t=0.0min)
00:01:05: Found 124 from  45 using afl_arith_ [\xd7\xf5d\xc6.\xfc8M\x80.M\x80.{] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 13.77ms], prio=3.6, t=0.0min)
00:01:07: Found 125 from   2 using afl_int_4  [.\x92P.....Nx.;\xf2\x90.\xf3p\xe] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 16.61ms], prio=3.6, t=0.0min)
00:01:07: Found 126 from   2 using afl_int_4  [.\x92P.....Nx.;\xf2\x90.\xf3p\xe] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 16.96ms], prio=3.6, t=0.0min)
00:01:09: Found 127 from   2 using afl_int_4  [.\x92P.\xac...\xffNx.;\xf2\x90.\] (stage=initial , exit=R, favs=0, score=5.0 [0.0K, 18.19ms], prio=3.6, t=0.0min)
